sample_id,image_id,label,split,roi_path,is_augmented,source_id,mean_R,mean_G,mean_B,std_R,std_G,std_B,mean_H,mean_S,mean_V,std_H,std_S,std_V,mean_L,mean_a,mean_b,std_L,std_a,std_b,mean_r_norm,mean_g_norm,mean_b_norm,std_r_norm,std_g_norm,std_b_norm
IMG_20260406_114317_r0_c1,white_IMG_20260406_114317,white,test,/content/data/roi/white/IMG_20260406_114317_r0_c1.jpg,False,IMG_20260406_114317_r0_c1,187.33234,186.30043,181.26738,14.845399,16.201668,17.687624,25.85504,9.131367,187.47093,4.3173547,7.441336,14.855228,192.56273,127.42793,130.77684,15.461602,0.59960395,1.2249798,0.3380183,0.33573815,0.3262326,0.005345965,0.0009050869,0.005705102
IMG_20260406_114317_r0_c2,white_IMG_20260406_114317,white,test,/content/data/roi/white/IMG_20260406_114317_r0_c2.jpg,False,IMG_20260406_114317_r0_c2,189.15863,188.46902,183.2521,5.388291,5.802663,6.932227,26.835,8.332305,189.35945,4.445505,3.0851307,5.3687468,194.58508,127.12375,130.91699,5.431021,0.45500234,0.7850199,0.33730015,0.336012,0.32663837,0.0020840913,0.0010434332,0.0025211133
IMG_20260406_114317_r1_c0,white_IMG_20260406_114317,white,test,/content/data/roi/white/IMG_20260406_114317_r1_c0.jpg,False,IMG_20260406_114317_r1_c0,186.21332,187.0178,181.36574,4.3205857,4.481583,4.8432093,34.34117,7.778008,187.12039,3.3999915,1.5108238,4.351789,193.07668,126.994415,130.74211,4.221657,0.15888143,0.54859954,0.33581546,0.33717915,0.32699206,0.0011248902,0.00064806134,0.0013186719
IMG_20260406_114317_r1_c1,white_IMG_20260406_114317,white,test,/content/data/roi/white/IMG_20260406_114317_r1_c1.jpg,False,IMG_20260406_114317_r1_c1,120.025276,155.08989,166.8144,73.95242,40.13839,25.826048,71.97601,88.46394,168.84773,31.297087,97.51173,26.54347,158.68547,122.35687,118.44266,41.733562,4.9753475,12.56888,0.23454215,0.3590231,0.40644485,0.12657687,0.027756615,0.099552795
IMG_20260406_114317_r1_c2,white_IMG_20260406_114317,white,test,/content/data/roi/white/IMG_20260406_114317_r1_c2.jpg,False,IMG_20260406_114317_r1_c2,184.89774,185.04828,180.17528,5.9488573,6.3137197,6.6663823,31.01707,7.422461,185.48816,5.7926908,2.2063482,5.9946985,191.46254,127.28742,130.27371,6.0921926,0.48230177,0.5489705,0.3361107,0.33633152,0.32744935,0.0017428286,0.0009844216,0.0017950758
IMG_20260406_114317_r2_c0,white_IMG_20260406_114317,white,test,/content/data/roi/white/IMG_20260406_114317_r2_c0.jpg,False,IMG_20260406_114317_r2_c0,183.05582,184.11523,178.04497,2.940376,3.028122,3.2316124,35.25793,8.18793,184.12695,1.9848018,1.1116275,2.9666822,190.13652,126.82387,130.9995,2.9427946,0.38560238,0.31591848,0.33580837,0.3376602,0.32657653,0.0007595706,0.00050292356,0.00091385545
IMG_20260406_114317_r2_c1,white_IMG_20260406_114317,white,test,/content/data/roi/white/IMG_20260406_114317_r2_c1.jpg,False,IMG_20260406_114317_r2_c1,183.01044,184.00449,178.71387,1.3100638,1.2833145,1.455927,35.674454,7.2983203,184.00699,0.7246145,0.5009034,1.2957609,190.01262,126.95789,130.29399,1.257696,0.20601684,0.45986864,0.3353345,0.3371184,0.32744193,0.00030793858,0.0003173875,0.00059172645
IMG_20260406_114317_r2_c2,white_IMG_20260406_114317,white,test,/content/data/roi/white/IMG_20260406_114317_r2_c2.jpg,False,IMG_20260406_114317_r2_c2,181.36539,182.06766,176.73895,1.8287826,1.9199225,2.0432348,33.77574,7.5820704,182.2203,4.155471,0.7427625,1.8311476,188.32808,126.8616,130.4809,1.6606151,0.61011165,0.51156735,0.33577964,0.33706737,0.3272111,0.0006947667,0.00083343656,0.0006990361
IMG_20260406_114346_r0_c0,white_IMG_20260406_114346,white,val,/content/data/roi/white/IMG_20260406_114346_r0_c0.jpg,False,IMG_20260406_114346_r0_c0,198.86298,198.90027,195.26157,24.213469,23.60446,23.620733,38.603127,5.9636326,199.54071,20.381172,3.3075595,23.949675,204.17336,127.32082,129.80547,22.377123,0.5176302,1.2481977,0.33532527,0.33546913,0.32918617,0.0027713778,0.0012193931,0.0032881757
IMG_20260406_114346_r0_c1,white_IMG_20260406_114346,white,val,/content/data/roi/white/IMG_20260406_114346_r0_c1.jpg,False,IMG_20260406_114346_r0_c1,172.50629,172.47516,169.77156,17.994015,19.143024,20.577776,31.720587,5.1948047,172.74992,7.6765776,7.634794,18.081789,179.55176,127.84375,129.34047,18.741325,0.4499566,1.129105,0.33559883,0.33508256,0.329187,0.005270908,0.00115175,0.005835386
IMG_20260406_114346_r0_c2,white_IMG_20260406_114346,white,val,/content/data/roi/white/IMG_20260406_114346_r0_c2.jpg,False,IMG_20260406_114346_r0_c2,164.26402,164.9098,159.72511,2.461314,2.6325657,2.8042963,33.81754,8.372266,165.08281,4.136245,0.90872586,2.5091047,172.09805,126.98242,130.5447,2.4831896,0.4102943,0.5273789,0.3360128,0.33730823,0.32665047,0.001067747,0.0007321193,0.0009228082
IMG_20260406_114346_r1_c0,white_IMG_20260406_114346,white,val,/content/data/roi/white/IMG_20260406_114346_r1_c0.jpg,False,IMG_20260406_114346_r1_c0,175.56883,177.30351,175.51422,1.9946996,2.0283046,2.0381112,56.623985,3.1790626,177.30492,21.631664,1.046947,2.0286605,184.27126,127.13152,128.46121,1.9372088,0.34350768,0.5008964,0.33228198,0.33559474,0.33220464,0.00088725594,0.0009232287,0.0012653496
IMG_20260406_114346_r1_c1,white_IMG_20260406_114346,white,val,/content/data/roi/white/IMG_20260406_114346_r1_c1.jpg,False,IMG_20260406_114346_r1_c1,113.007965,144.46828,157.74832,63.73068,35.772522,25.546967,83.454414,82.99438,158.60281,25.319416,90.955154,25.24822,148.8618,123.05797,117.80332,37.348293,4.211419,11.506972,0.24300948,0.3539342,0.40304008,0.11396275,0.0234463,0.09110355
IMG_20260406_114346_r1_c2,white_IMG_20260406_114346,white,val,/content/data/roi/white/IMG_20260406_114346_r1_c2.jpg,False,IMG_20260406_114346_r1_c2,167.24902,167.73824,163.46407,9.253841,10.271824,11.243211,33.54836,7.2270703,167.91481,3.9582448,5.723615,9.365159,174.84868,127.327614,129.85054,9.977107,0.50460994,0.93152225,0.3357745,0.33653477,0.32764506,0.0038811124,0.0012986107,0.0043951855
IMG_20260406_114346_r2_c0,white_IMG_20260406_114346,white,val,/content/data/roi/white/IMG_20260406_114346_r2_c0.jpg,False,IMG_20260406_114346_r2_c0,178.66754,180.26695,178.19684,1.9448464,1.7272485,1.7185541,54.857227,3.4277735,180.26797,17.100971,0.55276746,1.7277523,187.01993,127.20031,128.63527,1.4811211,0.40089756,0.48199913,0.3325981,0.33559582,0.33183947,0.001111614,0.000776571,0.001199408
IMG_20260406_114346_r2_c1,white_IMG_20260406_114346,white,val,/content/data/roi/white/IMG_20260406_114346_r2_c1.jpg,False,IMG_20260406_114346_r2_c1,175.32497,175.33714,173.12387,2.306195,2.323031,2.3991635,30.141094,3.3491406,175.38481,3.6296003,1.1230428,2.3549025,182.33348,127.94524,129.07985,2.2709658,0.22976094,0.28779897,0.33470672,0.33473167,0.33053112,0.0005509734,0.0005737266,0.00091008906
IMG_20260406_114346_r2_c2,white_IMG_20260406_114346,white,val,/content/data/roi/white/IMG_20260406_114346_r2_c2.jpg,False,IMG_20260406_114346_r2_c2,169.49246,170.41188,165.18442,2.1894367,2.1230903,2.4557853,35.300236,7.813594,170.45235,2.255874,0.8903871,2.1487901,177.43417,126.92434,130.26227,2.1205926,0.34675935,0.4496421,0.33559635,0.33741796,0.32707104,0.00056279055,0.00050005683,0.0007048028
IMG_20260406_114458_r0_c0,white_IMG_20260406_114458,white,train,/content/data/roi/white/IMG_20260406_114458_r0_c0.jpg,False,IMG_20260406_114458_r0_c0,189.63777,189.295,184.27261,2.6260848,2.630968,2.8331215,28.514336,7.725625,189.96985,5.175773,1.071837,2.5365918,195.35168,127.06879,130.67113,2.499179,0.3124739,0.5108274,0.33667862,0.3360981,0.32719,0.0012262949,0.0007150428,0.000950777
IMG_20260406_114458_r0_c1,white_IMG_20260406_114458,white,train,/content/data/roi/white/IMG_20260406_114458_r0_c1.jpg,False,IMG_20260406_114458_r0_c1,187.03508,187.57715,182.49301,6.3684726,6.5923867,6.8520837,33.453712,7.4088674,187.81258,4.631123,1.9279926,6.3845005,193.66234,127.02047,130.29958,6.3507743,0.19278203,0.54925776,0.3356979,0.33670053,0.3275954,0.0015749148,0.00065544894,0.0015944496
IMG_20260406_114458_r0_c2,white_IMG_20260406_114458,white,train,/content/data/roi/white/IMG_20260406_114458_r0_c2.jpg,False,IMG_20260406_114458_r0_c2,177.82852,178.14398,172.69809,1.5833997,1.6390505,1.8570855,31.991875,8.444101,178.47769,4.951116,1.3037239,1.56576,185.09886,126.87375,130.70477,1.5513948,0.3609782,0.5656401,0.3364267,0.33694133,0.32662728,0.0012652337,0.0008219646,0.0010705226
IMG_20260406_114458_r1_c0,white_IMG_20260406_114458,white,train,/content/data/roi/white/IMG_20260406_114458_r1_c0.jpg,False,IMG_20260406_114458_r1_c0,187.26328,188.2334,183.16582,1.9409808,1.99852,2.0869963,35.784924,7.0942187,188.24922,1.3616552,0.5147247,1.9671919,194.24925,127.002266,130.07578,1.9146311,0.09917925,0.2893257,0.3351443,0.33694267,0.3279231,0.00043320397,0.00024261286,0.00049315224
IMG_20260406_114458_r1_c1,white_IMG_20260406_114458,white,train,/content/data/roi/white/IMG_20260406_114458_r1_c1.jpg,False,IMG_20260406_114458_r1_c1,120.61547,155.45625,167.67473,74.235344,41.004356,26.532547,73.37465,87.9909,169.52997,29.933697,98.37348,27.236103,159.0634,122.58734,118.187614,42.4201,4.8318973,12.7412,0.23411818,0.3582261,0.40765977,0.12768765,0.02709313,0.10145609
IMG_20260406_114458_r1_c2,white_IMG_20260406_114458,white,train,/content/data/roi/white/IMG_20260406_114458_r1_c2.jpg,False,IMG_20260406_114458_r1_c2,181.03368,181.95453,176.52684,3.5985217,3.7753048,4.1318774,35.215,7.5873046,181.995,2.030667,1.61647,3.6196532,188.12442,126.691956,130.44191,3.5459297,0.47725958,0.5859902,0.33556598,0.33724973,0.32717142,0.0011005582,0.000498997,0.0013828019
IMG_20260406_114458_r2_c0,white_IMG_20260406_114458,white,train,/content/data/roi/white/IMG_20260406_114458_r2_c0.jpg,False,IMG_20260406_114458_r2_c0,187.86281,187.55016,182.26485,1.4483815,1.5328451,1.5497524,28.537031,7.9541407,188.20062,4.8777814,0.50223905,1.4306638,193.9325,126.99328,130.91704,1.2834469,0.092461914,0.32804534,0.33682117,0.3363897,0.3267885,0.0009672319,0.0008209505,0.0005505365
IMG_20260406_114458_r2_c1,white_IMG_20260406_114458,white,train,/content/data/roi/white/IMG_20260406_114458_r2_c1.jpg,False,IMG_20260406_114458_r2_c1,185.17566,185.31583,180.08075,2.314283,2.3990881,2.4153533,31.041798,7.668047,185.74605,5.2819147,0.5512586,2.3137934,191.73325,126.992424,130.66016,2.1900074,0.0945016,0.48357177,0.33630592,0.33663726,0.32706794,0.0011172517,0.0007665437,0.0006344485
IMG_20260406_114458_r2_c2,white_IMG_20260406_114458,white,train,/content/data/roi/white/IMG_20260406_114458_r2_c2.jpg,False,IMG_20260406_114458_r2_c2,180.5675,181.49234,175.45703,2.1126034,2.0504694,2.0786793,34.609375,8.386406,181.52156,1.805743,0.66832244,2.069315,187.8118,126.37125,131.03156,1.7579721,0.48543903,0.17831968,0.3359987,0.33767632,0.32644984,0.00047816464,0.0003747412,0.00051536213
IMG_20260406_114618_r0_c0,white_IMG_20260406_114618,white,val,/content/data/roi/white/IMG_20260406_114618_r0_c0.jpg,False,IMG_20260406_114618_r0_c0,212.41742,209.52524,200.70062,1.4510877,1.3250517,2.1787436,22.880547,13.925351,212.41742,1.4194738,1.3125336,1.4510877,214.51239,127.203514,132.86794,1.3183073,0.42624423,0.5242866,0.34111103,0.3364771,0.32236332,0.00057158805,0.00082856504,0.0012779962
IMG_20260406_114618_r0_c1,white_IMG_20260406_114618,white,val,/content/data/roi/white/IMG_20260406_114618_r0_c1.jpg,False,IMG_20260406_114618_r0_c1,209.39473,206.72351,196.5157,3.7024841,3.69961,4.0554805,24.076992,15.855351,209.39473,1.7078788,1.4271908,3.7024841,211.74863,127.08039,133.41101,3.50229,0.3105316,0.51208234,0.34175014,0.33741572,0.32070994,0.0007953971,0.0011030572,0.0015343287
IMG_20260406_114618_r0_c2,white_IMG_20260406_114618,white,val,/content/data/roi/white/IMG_20260406_114618_r0_c2.jpg,False,IMG_20260406_114618_r0_c2,207.94855,205.08777,195.50386,1.1581589,1.1898862,1.4320173,23.473595,15.444101,207.94855,1.3593559,0.81693006,1.1581589,210.11758,127.41719,133.19438,1.1190258,0.50215155,0.39807826,0.3417038,0.33699036,0.32121143,0.00034948718,0.0009019124,0.0010960673
IMG_20260406_114618_r1_c0,white_IMG_20260406_114618,white,val,/content/data/roi/white/IMG_20260406_114618_r1_c0.jpg,False,IMG_20260406_114618_r1_c0,211.99797,209.46011,198.8152,6.2023244,6.4849663,6.9719424,24.515352,15.899766,211.99844,1.7435573,2.831816,6.201939,214.17558,126.97664,133.58992,6.0613236,0.2729925,0.70466226,0.3417886,0.33770385,0.320475,0.0016596817,0.0011555137,0.0023735384
IMG_20260406_114618_r1_c1,white_IMG_20260406_114618,white,val,/content/data/roi/white/IMG_20260406_114618_r1_c1.jpg,False,IMG_20260406_114618_r1_c1,141.46094,178.69414,185.74066,78.84696,36.91596,20.924192,64.22129,82.2982,191.07843,34.24478,88.12609,24.009584,180.8745,120.57988,121.03274,38.594433,6.5432286,13.327687,0.24994624,0.36077243,0.38927558,0.11769221,0.029871015,0.088361315
IMG_20260406_114618_r1_c2,white_IMG_20260406_114618,white,val,/content/data/roi/white/IMG_20260406_114618_r1_c2.jpg,False,IMG_20260406_114618_r1_c2,208.87656,206.03032,194.40422,1.7465396,1.6874986,1.7278169,24.3425,17.510038,208.87656,1.9660465,0.7331253,1.7465396,211.04004,127.1691,134.01668,1.5947242,0.43224627,0.15660441,0.3428492,0.33815697,0.31904623,0.00086077285,0.00082314643,0.00036916643
IMG_20260406_114618_r2_c0,white_IMG_20260406_114618,white,val,/content/data/roi/white/IMG_20260406_114618_r2_c0.jpg,False,IMG_20260406_114618_r2_c0,212.74141,210.29742,198.11664,1.7296114,1.7570761,2.2484946,25.200937,17.563946,212.74141,1.4305714,1.2013291,1.7296114,214.78996,126.59324,134.34973,1.4805781,0.4968201,0.60024625,0.34251636,0.33857456,0.3189562,0.000850212,0.0008364417,0.0010541071
IMG_20260406_114618_r2_c1,white_IMG_20260406_114618,white,val,/content/data/roi/white/IMG_20260406_114618_r2_c1.jpg,False,IMG_20260406_114618_r2_c1,210.36774,207.45633,195.4073,4.6497736,5.0918446,5.5455856,24.606054,18.173672,210.36899,1.7068985,1.7798371,4.653267,212.37004,126.85551,134.12363,4.619086,0.39329207,0.4655765,0.34309083,0.33837247,0.3185978,0.0013310708,0.000716548,0.0011683598
IMG_20260406_114618_r2_c2,white_IMG_20260406_114618,white,val,/content/data/roi/white/IMG_20260406_114618_r2_c2.jpg,False,IMG_20260406_114618_r2_c2,207.48648,203.08118,191.085,2.7920606,3.0154965,3.34712,22.33293,20.297617,207.48648,1.2760209,1.7406642,2.7920606,208.50371,127.24477,134.26492,2.7058344,0.477858,0.5630255,0.34484795,0.3375778,0.3176061,0.0013145726,0.000597188,0.0012778295
IMG_20260406_114623_r0_c0,white_IMG_20260406_114623,white,train,/content/data/roi/white/IMG_20260406_114623_r0_c0.jpg,False,IMG_20260406_114623_r0_c0,217.77847,214.80176,206.15277,1.9812263,1.841581,2.1244545,22.71086,13.635196,217.77925,1.5950887,1.1048608,1.979347,219.29395,127.23941,132.80707,1.5779155,0.4625973,0.4270199,0.34099868,0.33628213,0.32270658,0.0007773656,0.0005610081,0.000976647
IMG_20260406_114623_r0_c1,white_IMG_20260406_114623,white,train,/content/data/roi/white/IMG_20260406_114623_r0_c1.jpg,False,IMG_20260406_114623_r0_c1,214.1307,211.41902,202.28133,4.774894,4.9585376,5.2789655,23.701914,13.942578,214.13164,2.1546748,1.7241255,4.774799,216.33711,126.91367,133.01851,4.672509,0.33747187,0.26303738,0.34111986,0.33672118,0.3221919,0.0013214938,0.0007111148,0.0012972014
IMG_20260406_114623_r0_c2,white_IMG_20260406_114623,white,train,/content/data/roi/white/IMG_20260406_114623_r0_c2.jpg,False,IMG_20260406_114623_r0_c2,212.26958,209.72972,200.60551,2.201967,1.5971403,1.867649,24.020157,13.794063,212.28113,2.7590172,0.9373884,2.180949,214.57855,126.90754,132.97734,1.670632,0.48990282,0.21636291,0.34094417,0.33684337,0.32225075,0.0010111671,0.0009192341,0.0005195441
IMG_20260406_114623_r1_c0,white_IMG_20260406_114623,white,train,/content/data/roi/white/IMG_20260406_114623_r1_c0.jpg,False,IMG_20260406_114623_r1_c0,217.17012,213.54434,204.52184,5.4277186,5.6146417,6.1708307,21.697031,14.795313,217.17012,1.2836356,2.552108,5.4277186,218.42278,127.65617,133.00871,5.269973,0.49503154,0.57513106,0.34192875,0.3361539,0.32190543,0.0017564874,0.0005898626,0.002038349
IMG_20260406_114623_r1_c1,white_IMG_20260406_114623,white,train,/content/data/roi/white/IMG_20260406_114623_r1_c1.jpg,False,IMG_20260406_114623_r1_c1,143.25508,182.13023,190.22449,84.856674,40.779907,25.585001,63.41172,85.514534,195.38824,35.0987,94.649864,27.714142,184.10028,120.95324,120.521835,42.132896,6.771755,13.853731,0.2432477,0.3623114,0.3944333,0.1276715,0.033538938,0.09498739
IMG_20260406_114623_r1_c2,white_IMG_20260406_114623,white,train,/content/data/roi/white/IMG_20260406_114623_r1_c2.jpg,False,IMG_20260406_114623_r1_c2,213.45723,210.02011,199.6441,2.5400205,2.3566563,2.9586864,22.737383,16.4175,213.45723,1.8172646,1.7237861,2.5400205,214.9861,127.25707,133.57793,2.183992,0.47094837,0.5479832,0.3425357,0.33700505,0.320381,0.00093350536,0.0009978634,0.0013841584
IMG_20260406_114623_r2_c0,white_IMG_20260406_114623,white,train,/content/data/roi/white/IMG_20260406_114623_r2_c0.jpg,False,IMG_20260406_114623_r2_c0,217.90855,213.98027,203.43309,1.5748935,1.4955819,2.0613859,21.976406,16.997265,217.90855,0.7726481,1.5858536,1.5748935,218.72699,127.187386,133.74199,1.3057877,0.4335141,0.47840646,0.34297475,0.3367552,0.32022476,0.0008219563,0.0005586704,0.0012083073
IMG_20260406_114623_r2_c1,white_IMG_20260406_114623,white,train,/content/data/roi/white/IMG_20260406_114623_r2_c1.jpg,False,IMG_20260406_114623_r2_c1,214.12863,210.20851,198.34503,3.648866,3.7718046,4.409186,22.707382,18.87914,214.1289,1.1382194,1.7436609,3.6514952,215.14333,126.936485,134.26688,3.4186032,0.38843504,0.7232479,0.34393695,0.33754298,0.31852448,0.00095158454,0.00085819105,0.0015187766
IMG_20260406_114623_r2_c2,white_IMG_20260406_114623,white,train,/content/data/roi/white/IMG_20260406_114623_r2_c2.jpg,False,IMG_20260406_114623_r2_c2,210.7541,206.72324,194.31848,3.1517746,3.183823,3.5168478,23.035078,19.833242,210.7541,0.88475436,1.7541668,3.1517746,211.77118,126.9523,134.3416,3.0169375,0.39951217,0.77974916,0.34450695,0.33795244,0.3175847,0.0010510513,0.0007389008,0.0014228354
IMG_20260406_114652_r0_c0,white_IMG_20260406_114652,white,train,/content/data/roi/white/IMG_20260406_114652_r0_c0.jpg,False,IMG_20260406_114652_r0_c0,236.07852,232.43504,217.6545,1.2155889,1.0782485,1.6058953,24.171211,19.825117,236.07852,1.7809707,1.4779177,1.2155889,234.73273,126.44192,135.92473,0.90213895,0.7986459,0.61468166,0.344094,0.33881286,0.31722605,0.0010523038,0.0010520095,0.0010330747
IMG_20260406_114652_r0_c1,white_IMG_20260406_114652,white,train,/content/data/roi/white/IMG_20260406_114652_r0_c1.jpg,False,IMG_20260406_114652_r0_c1,236.40137,230.9255,217.99294,2.0463579,2.1087654,2.2705073,21.143398,19.741016,236.40137,2.8982008,1.4824576,2.0463579,233.96742,127.59629,135.1238,1.7335513,1.1239754,0.8411078,0.34500867,0.33702174,0.3181291,0.001390584,0.0015985315,0.0011067122
IMG_20260406_114652_r0_c2,white_IMG_20260406_114652,white,train,/content/data/roi/white/IMG_20260406_114652_r0_c2.jpg,False,IMG_20260406_114652_r0_c2,234.95493,229.36977,216.10805,1.6350299,1.5627152,1.6962109,21.126015,20.718243,234.95493,1.9931884,1.2017837,1.6350299,232.53781,127.6934,135.5048,1.3209888,0.8042385,0.62138164,0.34534723,0.33712807,0.31757998,0.0009544167,0.0011671591,0.0010164414
IMG_20260406_114652_r1_c0,white_IMG_20260406_114652,white,train,/content/data/roi/white/IMG_20260406_114652_r1_c0.jpg,False,IMG_20260406_114652_r1_c0,235.59305,232.82687,217.72726,3.060939,3.5091166,3.7774115,25.261133,19.108984,235.59305,1.0358781,1.8535029,3.060939,234.90555,126.08953,136.05731,3.121173,0.39801207,0.33872232,0.34342983,0.339392,0.31734413,0.0013731085,0.0005193844,0.0012539349
IMG_20260406_114652_r1_c1,white_IMG_20260406_114652,white,train,/content/data/roi/white/IMG_20260406_114652_r1_c1.jpg,False,IMG_20260406_114652_r1_c1,166.86731,205.28535,206.99266,87.78042,39.403767,25.470953,59.872696,78.31215,216.1419,34.469078,84.694626,29.542692,205.24496,119.361404,123.89859,40.78192,8.19971,13.464699,0.2597032,0.3630615,0.377258,0.11753894,0.03538034,0.082587056
IMG_20260406_114652_r1_c2,white_IMG_20260406_114652,white,train,/content/data/roi/white/IMG_20260406_114652_r1_c2.jpg,False,IMG_20260406_114652_r1_c2,235.18066,228.88129,212.85497,1.8794266,1.9199551,2.1300201,21.718477,24.301367,235.18066,0.59493554,0.87677383,1.8794266,231.99777,127.27504,136.8904,1.746653,0.46529928,0.45622194,0.34745157,0.33819175,0.31439403,0.00063287455,0.00041467752,0.00068980636
IMG_20260406_114652_r2_c0,white_IMG_20260406_114652,white,train,/content/data/roi/white/IMG_20260406_114652_r2_c0.jpg,False,IMG_20260406_114652_r2_c0,235.50262,232.36281,216.43285,1.0006069,0.9888216,1.4832709,25.299648,20.774258,235.50262,0.9281569,1.5405697,1.0006069,234.47699,126.05679,136.44038,0.8406372,0.23212984,0.51840377,0.34422225,0.3396175,0.31633118,0.0008627478,0.0005974007,0.001076291
IMG_20260406_114652_r2_c1,white_IMG_20260406_114652,white,train,/content/data/roi/white/IMG_20260406_114652_r2_c1.jpg,False,IMG_20260406_114652_r2_c1,235.07329,228.60828,212.09442,1.9660735,2.2795823,2.9875538,21.806757,24.954336,235.07329,0.6813294,1.6881896,1.9660735,231.81918,127.233246,137.18016,1.9816337,0.45738322,0.65279204,0.34788552,0.3383504,0.31382182,0.0011427099,0.00047447972,0.0013910227
